id,time_step,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_hand_x,left_hand_y,left_hand_z
1,0.1,2.25298738652,-0.103932909313,-0.413988988577,2.2406631665,-0.188539666925,-0.631873220651,2.04763550186,-0.312926743754,-0.544525709861
1,0.2,2.25195417592,-0.104433546348,-0.416525880534,2.24345906192,-0.18793386747,-0.632089295375,2.05144275803,-0.315285006136,-0.545468472869
1,0.3,2.25695075222,-0.101676554728,-0.41532878585,2.23956501996,-0.186622053161,-0.630502244938,2.05347059262,-0.315377680572,-0.544866063326
1,0.4,2.25303522572,-0.102689035542,-0.416109960432,2.24504352649,-0.188199700273,-0.634554083909,2.05541541444,-0.315713427823,-0.545853069981
1,0.5,2.25778496977,-0.102616470182,-0.419253898777,2.24187728118,-0.189266392812,-0.631685419935,2.05772717665,-0.315117624654,-0.546718679059
1,0.6,2.25310700339,-0.104475290161,-0.417809057376,2.23420784665,-0.189280977868,-0.631957059244,2.05174817498,-0.314306397836,-0.545300505241
1,0.7,2.25527154381,-0.101522622603,-0.417675947651,2.22637214721,-0.185671997861,-0.630003783392,2.0454632703,-0.314416741967,-0.543387274148
1,0.8,2.25401984159,-0.0997274306675,-0.414038705504,2.2330464504,-0.184443167803,-0.632372582322,2.04980091631,-0.315223244589,-0.544323813518
1,0.9,2.25919002948,-0.0994557594547,-0.407811826302,2.23623177319,-0.185383540014,-0.627853367948,2.04371962524,-0.315929596272,-0.542916198407
1,1,2.25737293041,-0.101369859147,-0.398944693162,2.21577144396,-0.203059579524,-0.612860800117,2.01094339937,-0.327713133414,-0.516229188364
1,1.1,2.2486085525,-0.106496462996,-0.396889759846,2.16986137724,-0.260035791863,-0.57899771644,1.94148290829,-0.352037363166,-0.485484456903
1,1.2,2.23745990401,-0.113378240702,-0.394744974021,2.12250931073,-0.296849259254,-0.553627974634,1.88202197474,-0.371929213659,-0.471066788539
1,1.3,2.20319361418,-0.124920465568,-0.38788577833,2.02803703627,-0.346336971993,-0.499177005059,1.77339579992,-0.414569657831,-0.467983320685
1,1.4,2.17820365038,-0.132506739002,-0.388276189466,1.98653496197,-0.35366787395,-0.473030734449,1.7287234244,-0.438198026268,-0.494941774758
1,1.5,2.16849491508,-0.135986968756,-0.390413360835,1.98478373557,-0.343287570324,-0.464203152333,1.72911888625,-0.438556881017,-0.507815494472
1,1.6,2.16363750936,-0.140227632961,-0.390255078833,1.98654642262,-0.337082058479,-0.46024621911,1.73492768512,-0.438273900695,-0.518154444032
1,1.7,2.16536554124,-0.14197867947,-0.39077272434,1.98944436795,-0.336452622785,-0.460674635517,1.73840325942,-0.438090172108,-0.521138343517
1,1.8,2.16690606518,-0.141351705428,-0.391070398456,1.98841311378,-0.338267110216,-0.463624064102,1.73556024248,-0.437533786067,-0.520409085027
1,1.9,2.17184502483,-0.141734011504,-0.392867230563,1.99262541967,-0.340613957536,-0.458997309555,1.74022505442,-0.439779160778,-0.518022017201
1,2,2.17655254882,-0.141131668773,-0.391050292288,1.99822405653,-0.341168197225,-0.458449081829,1.74734004388,-0.442171865356,-0.520624216187
1,2.1,2.18177251105,-0.139988705263,-0.392215777771,2.00578055975,-0.342939531773,-0.4643954902,1.75550753311,-0.447344381742,-0.523411660739
1,2.2,2.18357281005,-0.139727407147,-0.390310755087,2.0214089343,-0.338406332277,-0.471684213378,1.76943843706,-0.443716828129,-0.520942778805
1,2.3,2.18726542231,-0.138550116972,-0.393133888767,2.04065346711,-0.337750255728,-0.497190418101,1.78379094443,-0.438566720478,-0.524421225079
1,2.4,2.19707204444,-0.134492067034,-0.394111555405,2.07476669541,-0.314126778373,-0.55444768452,1.82216610973,-0.424518605885,-0.531835916821
1,2.5,2.2082634206,-0.128817587449,-0.396630364823,2.15238293357,-0.257039212998,-0.622877351945,1.93810922905,-0.409420279612,-0.582092995536
1,2.6,2.22891330306,-0.119367857972,-0.392593361817,2.21670310528,-0.196483343192,-0.667116418774,2.0494356158,-0.344179880452,-0.790679891279
1,2.7,2.24416813026,-0.108611156735,-0.396975192754,2.23924739372,-0.150337706793,-0.660488816038,2.1070014135,-0.255068722345,-0.867242663767
1,2.8,2.25507140098,-0.0967322943586,-0.398597943986,2.25083808016,-0.1179628931,-0.664560513887,2.14680233727,-0.192427981666,-0.898732006743
1,2.9,2.26525815613,-0.0910012617623,-0.396250355671,2.26264710903,-0.10179252349,-0.662861460584,2.18336733452,-0.154563269108,-0.912129846132
1,3,2.27209362561,-0.0904442145595,-0.39017716911,2.27064124985,-0.0959428160858,-0.656958779987,2.21127911373,-0.13341550728,-0.914401371998
1,3.1,2.27209362561,-0.0904442145595,-0.39017716911,2.27064124985,-0.0959428160858,-0.656958779987,2.21127911373,-0.13341550728,-0.914401371998
2,0.1,2.26145143047,-0.0864420716436,-0.41484155873,2.2614504503,-0.0864411484905,-0.681683904919,2.26144947015,-0.0864464127763,-0.948525884898
2,0.2,2.26080029796,-0.086167682861,-0.417144168643,2.26079931779,-0.0861667597079,-0.683986514832,2.26079833764,-0.0861720239937,-0.950828494811
2,0.3,2.25904738074,-0.0852708616021,-0.412852414157,2.25904640057,-0.085269938449,-0.679694760347,2.25904542042,-0.0852752027348,-0.946536740325
2,0.4,2.26042189078,-0.0862691704571,-0.41430926735,2.26042091061,-0.0862682473039,-0.68115161354,2.26041993046,-0.0862735115898,-0.947993593519
2,0.5,2.25586843184,-0.0865515892214,-0.412451096328,2.25586745167,-0.0865506660683,-0.679293442517,2.25586647152,-0.0865559303541,-0.946135422496
