id,time_step,right_elbow_x,right_elbow_y,right_elbow_z,right_hand_x,right_hand_y,right_hand_z
2,1.3,2.0097880276,-0.1202040243,-0.5275033574,1.8496137778,-0.2907854347,-0.7242695029
2,1.4,1.9578290536,-0.1616982609,-0.5329313112,1.7945873327,-0.3472375072,-0.7206996054
2,1.5,1.9108895761,-0.1999136238,-0.5371596748,1.7477264092,-0.3958400887,-0.718212332
2,1.6,1.8812575163,-0.2252343565,-0.5385080394,1.719277494,-0.4253571243,-0.7167947445
2,1.7,1.853868951,-0.2510756674,-0.5400858153,1.6941007142,-0.4513887009,-0.7203164906
2,1.8,1.8317290778,-0.2748705478,-0.5427713666,1.6738355673,-0.4723661204,-0.7282361492
2,5.6,-0.1728656521,-0.1976317649,-0.2739334683,-0.6991620884,-1.1200252481,-1.5151070895
3,0.1,-0.0509012934,-0.0827397605,-0.0827397605,-0.6618906682,-1.1207061089,-1.5643055962
3,0.2,-0.0637578907,-0.0835224641,-0.0835224641,-0.6552909145,-1.1123019988,-1.5559014861
3,0.3,-0.0703346318,-0.0857284102,-0.0857284102,-0.6527303325,-1.1107215562,-1.5543210435
3,0.4,-0.0715945576,-0.0809916513,-0.0809916513,-0.6559145137,-1.1146517508,-1.5582512381
3,0.5,-0.0706222876,-0.0864817274,-0.0864817274,-0.6625089075,-1.1221431963,-1.5657426836
3,0.6,-0.0728881954,-0.0876691225,-0.0876691225,-0.6649992176,-1.1243556273,-1.5679551146
3,0.7,-0.0739279383,-0.0858377189,-0.0858377189,-0.663260523,-1.1235018426,-1.5671013299
3,0.8,-0.0777654939,-0.0853904709,-0.0853904709,-0.6643753981,-1.1251862656,-1.5687857529
3,0.9,-0.0831468627,-0.0861101499,-0.0861101499,-0.6624094499,-1.1234425921,-1.5670420794
3,1,-0.0804804641,-0.0854751971,-0.0854751971,-0.6665560731,-1.1272680738,-1.5708675611
3,1.1,-0.0783539961,-0.0897247549,-0.0897247549,-0.6727876512,-1.1339740671,-1.5775735544
3,1.2,-0.0775978585,-0.0989272264,-0.0989272264,-0.6711915931,-1.1320247084,-1.5756241957
3,1.3,-0.0859157729,-0.094334398,-0.094334398,-0.6666255327,-1.12732247,-1.5709219573
3,1.4,-0.0902492891,-0.0901959691,-0.0901959692,-0.6621599059,-1.1229112849,-1.5665107722
3,1.5,-0.0817597693,-0.0792359271,-0.0792359271,-0.6595576745,-1.1215813566,-1.5651808439
3,1.6,-0.0768999414,-0.1041348897,-0.1041348897,-0.6571718131,-1.1167771663,-1.5603766536
3,1.7,-0.0608868996,-0.1139246097,-0.1139246098,-0.6627851432,-1.1153528713,-1.5589523586
3,1.8,-0.0510078934,-0.1345288934,-0.1345288934,-0.6649092857,-1.1088934393,-1.5524929266
3,1.9,-0.0495165827,-0.1507044065,-0.1507044065,-0.6657885054,-1.1052094729,-1.5488089602
3,2,-0.0569722133,-0.1518480966,-0.1518480966,-0.6650226636,-1.1070385611,-1.5506380484
3,2.1,-0.0706671864,-0.165044039,-0.165044039,-0.6682737163,-1.1069782389,-1.5505777262
3,2.2,-0.1065843831,-0.1917729195,-0.1917729195,-0.6708692378,-1.1203074333,-1.5639069206
3,2.3,-0.1377365991,-0.1978815746,-0.1978815746,-0.6690223273,-1.1226549854,-1.5662544727
3,2.4,-0.165352464,-0.1807784718,-0.1807784718,-0.6704210651,-1.1255047771,-1.5691042644
3,2.5,-0.1899765309,-0.1867739423,-0.1867739423,-0.6703406536,-1.1223993976,-1.5659988849
3,2.6,-0.2230100206,-0.1608863855,-0.1608863855,-0.6723457686,-1.1180589575,-1.5616584448
3,2.7,-0.2285192002,-0.1716017526,-0.1716017526,-0.6795598861,-1.1252934501,-1.5688929374
3,2.8,-0.2263444886,-0.1697184604,-0.1697184604,-0.6808875671,-1.129000015,-1.5725995023
3,2.9,-0.2242961752,-0.1750426575,-0.1750426575,-0.6838729685,-1.1338271697,-1.577426657
4,0.1,2.2668428579,0.0797273375,-0.5087754408,2.1467279355,0.0304384754,-0.7921650265
4,0.2,2.2711429462,0.0778283662,-0.5087728789,2.146754962,0.0296230811,-0.7907388324
4,0.3,2.2720982619,0.0754174084,-0.5098264873,2.1409540312,0.0208254791,-0.786436671
4,0.4,2.2648392445,0.0702700814,-0.5166047395,2.1253819054,-0.0003528794,-0.7790259649
4,0.5,2.2514100146,0.0616424642,-0.5234261912,2.1048712278,-0.0261758291,-0.7688041251
4,0.6,2.228163685,0.0443979881,-0.5310249217,2.075071826,-0.0608626375,-0.7565794266
4,0.7,2.1964358867,0.0227848811,-0.5345919777,2.0355894312,-0.1036398359,-0.7402953935
4,0.8,2.1558692243,-0.0057728199,-0.5368771206,1.9873149112,-0.1524175799,-0.7256104153
4,0.9,2.1090394546,-0.0411734944,-0.5400069738,1.9341035176,-0.2062485995,-0.7152731091
4,1,2.0572056525,-0.0812336722,-0.5452104103,1.8781020434,-0.263642682,-0.7087547082
4,1.1,2.0024106066,-0.1232719272,-0.5508720268,1.8218313867,-0.3225578447,-0.7048192598
4,1.2,1.9483713425,-0.1659662713,-0.5561338454,1.7700627162,-0.3761191001,-0.7049900155
4,1.3,1.9018109021,-0.205638525,-0.555719361,1.728113618,-0.4162053578,-0.7085543552
4,1.4,1.8635716161,-0.2401956762,-0.5536626545,1.6950199378,-0.4466101238,-0.7162679788
