rosbagTimestamp,right_elbow_x,right_elbow_y,right_elbow_z
1525774972,2.87345509115,-0.0810924344074,-0.542814937117
1525774972,2.86908838375,-0.0842599843218,-0.548210123714
1525774972,2.88511966693,-0.0907229762779,-0.54563999217
1525774972,2.88982427968,-0.100981763318,-0.549661371756
1525774972,2.88001472303,-0.110046038853,-0.555006245391
1525774972,2.85396790644,-0.124362441596,-0.553421249813
1525774972,2.85067840657,-0.14089634345,-0.556094333433
1525774972,2.83439869565,-0.162514429982,-0.557501866407
1525774972,2.78065097732,-0.184392541837,-0.556401449254
1525774973,2.67948941471,-0.213574599826,-0.569660782257
1525774973,2.54838379683,-0.263081947859,-0.593302512592
1525774973,2.40008602601,-0.338318057773,-0.580092190031
1525774973,2.28489134456,-0.359834655224,-0.562740448538
1525774973,2.2087212639,-0.376248814407,-0.555918269335
1525774973,2.12179630813,-0.391087298983,-0.545419720061
1525774973,2.08738984221,-0.396651481762,-0.543301246511
1525774973,2.06161908191,-0.404607905769,-0.553529667475
1525774973,2.046088545,-0.412179190843,-0.566365975174
1525774973,2.04032413846,-0.418292798443,-0.573088366109
1525774974,2.0454263915,-0.415222894447,-0.58142181991
1525774974,2.0830383477,-0.398550911808,-0.59315791998
1525774974,2.16063899693,-0.366661130915,-0.610502199165
1525774974,2.27247967205,-0.332314315072,-0.615683029901
1525774974,2.36634570692,-0.288966832831,-0.553802881526
1525774974,2.42039277911,-0.270587392362,-0.548207254857
1525774974,2.52918707108,-0.235986925599,-0.552161206727
1525774974,2.6086809722,-0.232205993953,-0.613584289253
1525774974,2.68124058584,-0.229251824229,-0.598834311638
1525774975,2.7458887562,-0.216159210054,-0.592004409944
1525774975,2.79547090389,-0.18690168845,-0.597511122832
1525774975,2.85953928088,-0.165458780384,-0.571274907973
1525774975,2.85157394077,-0.132131005077,-0.540145606254
1525774975,2.8370907379,-0.122541718067,-0.543779097976
1525774975,2.8370907379,-0.122541718067,-0.543779097976
