rosbagTimestamp,left_shoulder_x,left_shoulder_y,left_shoulder_z
1525775113,2.71140184485,0.187487681704,-0.214203715643
1525775113,2.71297214585,0.182890809421,-0.221932908422
1525775113,2.70930155015,0.164706561318,-0.224163836712
1525775113,2.71130061406,0.158104212704,-0.219749110168
1525775113,2.71998448803,0.146713741672,-0.221316311255
1525775113,2.72884469198,0.123649199022,-0.218103041188
1525775113,2.73552464238,0.120956558459,-0.215687324757
1525775113,2.73556224744,0.113237778079,-0.221390938177
1525775114,2.73129369417,0.111783660838,-0.222459983777
1525775114,2.72934813799,0.10701438947,-0.227102524238
1525775114,2.69424051208,0.0861319744405,-0.237065560563
1525775114,2.6608814041,0.0725638511121,-0.244405602213
1525775114,2.60222174508,0.0607979190903,-0.253734808741
1525775114,2.52602837618,0.0487821668042,-0.268343751279
1525775114,2.43518733822,0.0334446444057,-0.276469455199
1525775114,2.34817061379,0.0138953574138,-0.263001453683
1525775114,2.25925470474,-0.00839904229756,-0.256282438112
1525775114,2.19247720301,-0.0368068422117,-0.261231869338
1525775115,2.1464150229,-0.0652455718935,-0.269049266059
1525775115,2.09548569188,-0.0978428277543,-0.271063605352
1525775115,2.06950333138,-0.110591519384,-0.267101504298
1525775115,2.05126557332,-0.123720393443,-0.270727444387
1525775115,2.03981169791,-0.131915603057,-0.283820541963
1525775115,2.0323689848,-0.137406337793,-0.279534931128
1525775115,2.0323689848,-0.137406337793,-0.279534931128
1525775115,2.01284773216,-0.143136557814,-0.28864099956
1525775115,2.01407746614,-0.144871263991,-0.291015485278
1525775116,2.01057323425,-0.149201858528,-0.284300506586
1525775116,2.00559348237,-0.150683306873,-0.290016461194
1525775116,2.00626020792,-0.147508179302,-0.292964583761
1525775116,2.00647896095,-0.145597381379,-0.290228836273
1525775116,2.00795661231,-0.145479898534,-0.292773794094
1525775116,2.01036682083,-0.149764618685,-0.28282870407
1525775116,2.01085201939,-0.147136534628,-0.288619385784
1525775116,2.00816906533,-0.147834923999,-0.281331106886
1525775116,2.01144712739,-0.148509213106,-0.285848910675
1525775116,2.00387080964,-0.135484781096,-0.279303259066
1525775117,2.01697642949,-0.128634070725,-0.264550896317
1525775117,2.04360263207,-0.119200630941,-0.260050414287
1525775117,2.07334928477,-0.099441206185,-0.254285646233
1525775117,2.11427135018,-0.0827013555523,-0.252173690225
1525775117,2.15927227277,-0.069311404488,-0.253476574639
1525775117,2.22140184764,-0.0445875320166,-0.246123439817
1525775117,2.29579509477,-0.0191405691491,-0.237939783636
1525775117,2.36603722473,-0.00582577790158,-0.240290108788
1525775117,2.42870835727,-0.00463155126821,-0.241829325198
1525775117,2.47705112271,0.00439217824566,-0.234983036707
1525775118,2.52178159716,0.00771819399032,-0.230106217368
1525775118,2.55179622592,0.0209086347457,-0.222273258771
1525775118,2.56771783488,0.0320774211038,-0.21706457702
1525775118,2.58179711349,0.0469600030324,-0.22044890608
1525775118,2.58393296123,0.0883800891557,-0.216758560532
1525775118,2.59823748348,0.135924674475,-0.2142013621
1525775118,2.60269758285,0.163993355409,-0.214910149235
1525775118,2.60493602722,0.181299851669,-0.219661805407
1525775118,2.60493602722,0.181299851669,-0.219661805407
