rosbagTimestamp,right_hip_x,right_hip_y,right_hip_z
1525775061,2.85104475748,0.099182622131,-0.676699986638
1525775061,2.85477734946,0.120637118874,-0.675401233259
1525775061,2.86307493775,0.123080806274,-0.678167071843
1525775061,2.84369306376,0.134426400059,-0.67718061149
1525775061,2.83927919995,0.14815238177,-0.675828971742
1525775061,2.8289361049,0.169837997465,-0.675233596836
1525775061,2.81699000715,0.186762849825,-0.672691133522
1525775062,2.8102228798,0.191334144548,-0.678331611595
1525775062,2.78511342545,0.213746863595,-0.677518836257
1525775062,2.78307608604,0.210394042391,-0.677032134438
1525775062,2.77816859568,0.215976879589,-0.676800243853
1525775062,2.7725970738,0.211956564934,-0.677738211669
1525775062,2.76009614931,0.204471075901,-0.671048956766
1525775062,2.74035140553,0.1679127148,-0.672415339317
1525775062,2.71320526388,0.13027748325,-0.683209612162
1525775062,2.7110624501,0.0665331897952,-0.678180551556
1525775062,2.68186876175,0.0229565444746,-0.678385949692
1525775063,2.65272469893,-0.0346841723191,-0.674966409045
1525775063,2.60032780692,-0.0681517567517,-0.686478789822
1525775063,2.5327328996,-0.0937037704837,-0.694774806181
1525775063,2.45663847069,-0.117686433722,-0.704187917783
1525775063,2.37211630777,-0.131364852405,-0.703200180558
1525775063,2.31664336224,-0.171377553117,-0.689036646716
1525775063,2.28430795668,-0.183411103898,-0.689181974718
1525775063,2.24263541168,-0.19576938075,-0.684548093619
1525775063,2.22533903656,-0.205690892037,-0.691311762996
1525775063,2.2092259847,-0.20897073638,-0.698605282911
1525775064,2.20604118899,-0.211050032746,-0.695584397189
1525775064,2.20158145117,-0.20910583526,-0.699361480417
1525775064,2.19935635466,-0.211637322315,-0.701581931228
1525775064,2.19745693395,-0.210279190254,-0.702032119563
1525775064,2.19745300998,-0.206410858359,-0.702988967694
1525775064,2.20152381634,-0.20284741262,-0.697907134502
1525775064,2.19921424575,-0.204038735801,-0.699174032757
1525775064,2.20353625192,-0.197514382157,-0.696819556445
1525775064,2.20372156019,-0.198022880622,-0.695821327145
1525775064,2.20450988988,-0.19958041862,-0.697482340783
1525775065,2.20843418716,-0.195973424835,-0.699082513889
1525775065,2.21364706047,-0.191034822313,-0.698858595049
1525775065,2.22200642348,-0.190433854718,-0.701520613059
1525775065,2.24199272504,-0.180266819634,-0.698587214794
1525775065,2.27248897109,-0.157558211521,-0.700880905914
1525775065,2.31917468046,-0.132418544185,-0.697968296639
1525775065,2.39234131356,-0.110219194008,-0.707063291958
1525775065,2.46171423727,-0.0774582198873,-0.70783307803
1525775065,2.52448735004,-0.0458119169209,-0.698127192886
1525775065,2.57566181856,-0.011619697086,-0.688989136232
1525775066,2.61288490566,0.00997290027454,-0.683031448253
1525775066,2.66063928117,0.0197955091579,-0.678387214485
1525775066,2.67782181277,0.047260580055,-0.674223703381
1525775066,2.67025767667,0.0885614441469,-0.679545819152
1525775066,2.68103610924,0.124871290562,-0.679139181498
1525775066,2.70408827421,0.149483565484,-0.676613448302
1525775066,2.72454985097,0.177829679462,-0.673630125025
1525775066,2.74406522074,0.183929787768,-0.670549019951
1525775066,2.75161257553,0.187719442566,-0.669070348944
1525775066,2.75422364195,0.198105194344,-0.663467026015
1525775067,2.75479397546,0.192893785917,-0.662958727329
