rosbagTimestamp,right_hand_x,right_hand_y,right_hand_z
1525775020,2.95412414284,0.0152178661415,-0.816334215367
1525775020,2.96742374915,0.00591316073643,-0.81318204254
1525775020,2.97009251639,-0.00885636261809,-0.809965743749
1525775020,2.98293236606,-0.016466433367,-0.815962006732
1525775020,2.98227149699,-0.0236422799871,-0.817803190828
1525775020,2.98062702529,-0.0368339917314,-0.814781700413
1525775020,2.98755751361,-0.0508343706323,-0.810162829385
1525775020,3.00688519407,-0.0633879113932,-0.810805844715
1525775020,2.99607078595,-0.0780823175719,-0.813248065734
1525775020,2.9878962822,-0.0956539342076,-0.815357410707
1525775021,3.00550472437,-0.110767043967,-0.818564628707
1525775021,3.01567716859,-0.130258667673,-0.816022795955
1525775021,2.99811253351,-0.153595173232,-0.82243056835
1525775021,2.99774296925,-0.164817159453,-0.81605092832
1525775021,2.9588387524,-0.187594112048,-0.817042240495
1525775021,2.90255951844,-0.20906462517,-0.821385295488
1525775021,2.85191940938,-0.23165505166,-0.83644516807
1525775021,2.77643874438,-0.250606027769,-0.842359319525
1525775021,2.68978961735,-0.269499549785,-0.849575553979
1525775021,2.66531966281,-0.276202215351,-0.851877343979
1525775022,2.54129223128,-0.303308444855,-0.836413387424
1525775022,2.5256369823,-0.306837371989,-0.833285522301
1525775022,2.45310387777,-0.324790427725,-0.824395973645
1525775022,2.42158365082,-0.332634720751,-0.822242903764
1525775022,2.39892424754,-0.339525673125,-0.823539695531
1525775022,2.37601364561,-0.350879181352,-0.82329534868
1525775022,2.36402198441,-0.360870924619,-0.822937394476
1525775022,2.35024830277,-0.364318729119,-0.826385097788
1525775022,2.34108571964,-0.365141425129,-0.823252861984
1525775022,2.33438231913,-0.366067200484,-0.832718657674
1525775023,2.33305344512,-0.365547002728,-0.836712915488
1525775023,2.32761595443,-0.364217341305,-0.832849858405
1525775023,2.33310517607,-0.364118779882,-0.842598535795
1525775023,2.33132102933,-0.365397411924,-0.834907122991
1525775023,2.33074685091,-0.367036482637,-0.825567277132
1525775023,2.32726584823,-0.362229366517,-0.833188968447
1525775023,2.32484934206,-0.364122106106,-0.835697138282
1525775023,2.32164765266,-0.362111070503,-0.841646955623
1525775023,2.32117717484,-0.360783771206,-0.845448345497
1525775023,2.32502510462,-0.362997166495,-0.839660029553
1525775024,2.32507492788,-0.36317410723,-0.834780024853
1525775024,2.32586863164,-0.36506265412,-0.835965818784
1525775024,2.32888499098,-0.362204030979,-0.832584848418
1525775024,2.33207250173,-0.361583810531,-0.829037618916
1525775024,2.32922580867,-0.361344898868,-0.832438609436
1525775024,2.32945723298,-0.361094775948,-0.83790516302
1525775024,2.32752437861,-0.364703273038,-0.839621220374
1525775024,2.32818649187,-0.363362755469,-0.837221320462
1525775024,2.32858320586,-0.362067984725,-0.83988184438
